|Date|Dollar|EUR|Grivna|Rupia
62|02.05.2020|26.9798|96.8328|79.1189|72.7263
63|03.05.2020|26.9798|96.8328|79.1189|72.7263
64|04.05.2020|26.9798|96.8328|79.1189|72.7263
65|05.05.2020|26.9798|96.8328|79.1189|72.7263
66|06.05.2020|26.9798|96.8328|79.1189|72.7263
67|07.05.2020|27.4603|97.6333|80.0598|73.9719
68|08.05.2020|27.6427|97.6707|80.0611|74.1169
69|09.05.2020|27.5448|97.7829|80.0039|73.8725
70|10.05.2020|27.5448|97.7829|80.0039|73.8725
71|11.05.2020|27.5448|97.7829|80.0039|73.8725
72|12.05.2020|27.5448|97.7829|80.0039|73.8725
73|13.05.2020|27.3938|97.2540|79.4394|73.4326
74|14.05.2020|27.5588|97.5047|79.7775|73.5819
75|15.05.2020|27.7208|97.8393|79.9033|73.9298
76|16.05.2020|27.4836|96.8648|79.1279|73.2056
77|17.05.2020|27.4836|96.8648|79.1279|73.2056
78|18.05.2020|27.4836|96.8648|79.1279|73.2056
79|19.05.2020|27.4623|96.1336|78.9422|72.9798
80|20.05.2020|27.3202|95.7057|79.1677|72.3918
81|21.05.2020|27.2226|95.4278|79.1813|72.3381
82|22.05.2020|26.4812|93.7931|77.7965|70.9240
83|23.05.2020|26.8697|94.6355|78.4431|71.8804
84|24.05.2020|26.8697|94.6355|78.4431|71.8804
85|25.05.2020|26.8697|94.6355|78.4431|71.8804
86|26.05.2020|26.6206|94.2012|77.8823|71.5962
87|27.05.2020|26.4449|93.9872|77.7854|71.1408
88|28.05.2020|26.3142|93.8547|77.9069|71.0635
89|29.05.2020|26.4440|93.8280|78.2611|71.1012
90|30.05.2020|26.2872|93.5638|78.5489|70.7520
91|31.05.2020|26.2872|93.5638|78.5489|70.7520
92|01.06.2020|26.2872|93.5638|78.5489|70.7520
93|02.06.2020|25.9886|92.2880|77.6376|69.7114
94|03.06.2020|25.7376|91.5350|76.7782|68.9831
95|04.06.2020|25.5239|90.5483|76.6243|68.3413
96|05.06.2020|25.8470|91.3182|77.3245|69.0151
97|06.06.2020|25.7973|90.8334|77.9658|68.6319
98|07.06.2020|25.7973|90.8334|77.9658|68.6319
99|08.06.2020|25.7973|90.8334|77.9658|68.6319
100|09.06.2020|25.7008|90.4159|77.1861|68.3123
101|10.06.2020|25.7763|90.8243|77.3481|68.6745
102|11.06.2020|25.7568|90.7710|77.9229|68.6183
103|12.06.2020|25.9902|91.2127|78.5225|69.1219
104|13.06.2020|25.9902|91.2127|78.5225|69.1219
105|14.06.2020|25.9902|91.2127|78.5225|69.1219
106|15.06.2020|25.9902|91.2127|78.5225|69.1219
107|16.06.2020|26.2220|92.5848|79.1451|70.3950
108|17.06.2020|26.0812|91.5206|79.0434|69.7524
109|18.06.2020|25.9480|91.2459|78.3829|69.4822
110|19.06.2020|25.9925|91.4391|78.2924|69.6180
111|20.06.2020|26.0290|91.3115|78.0047|69.5725
112|21.06.2020|26.0290|91.3115|78.0047|69.5725
113|22.06.2020|26.0290|91.3115|78.0047|69.5725
114|23.06.2020|26.0606|91.3871|77.8285|69.4835
115|24.06.2020|25.8741|91.0009|77.6832|68.8376
116|25.06.2020|25.8172|90.9017|77.7590|68.8376
117|26.06.2020|26.0441|91.8046|78.0589|69.4660
118|27.06.2020|25.9175|91.4207|77.5413|69.1284
119|28.06.2020|25.9175|91.4207|77.5413|69.1284
120|29.06.2020|25.9175|91.4207|77.5413|69.1284
121|30.06.2020|26.1743|92.5691|78.6812|69.9513
122|01.07.2020|26.4194|93.2713|78.9929|70.4413
